Headline,Sentiment
"Exxon Mobil, Chevron Put Squeeze on Buybacks",negative
More Tough Times Ahead for Exxon and Chevron?,negative
"9:52 am Chevron weighs on Dow, slides back near its multi-year low from Monday after reporting at 88.74 -- session low 88.76",negative
Chevron (CVX) Misses on Q2 Earnings on Crude Price Plunge - Tale of the Tape,negative
Chevron (CVX) Stock Tanks Following Earnings Miss,negative
Chevron Posts Lowest Profit in Over a Decade,negative
Chevron Predicts Oil Prices Will Stay Low for a Long Time,negative
Chevron Profit Plummets After Writedown of Oil Asset Values,negative
Chevron Profit Plummets to Lowest in a Decade,negative
Chevron Slumps as Q2 Earnings Plunge on Weak Oil Prices - Analyst Blog,negative
Chevron earnings badly miss expectations,negative
Chevron misses 2Q profit forecasts,negative
Chevron posts earnings of 30 cents a share vs $1.16 expected,negative
Chevron posts worst profit in nearly 13 years,negative
"Chevron profit tumbles 90 percent, misses estimates; shares drop",negative
Chevron quarterly profit drops 90 percent,negative
Chevron's Earnings Get Clobbered This Quarter; Here's What You Need to Know,negative
Chevron's Profit Plunges on Impairments,negative
Chevron's stock slumps after 'weak' second-quarter results,negative
Chevron's ugly earnings put focus on oil dividends,negative
Chevron: Elevated Risk?,negative
Exxon & Chevron weigh on Dow; LinkedIn fails to hide issues; Expedia soars,negative
"Exxon Profit Drops 51%, Chevron 90% On Low Oil Prices",negative
"Exxon, Chevron Brace for Dark Times Ahead",negative
"Exxon, Chevron Bracing for Dark Times Ahead as Oil Slump Lingers",negative
"Exxon, Chevron shares have their worst day in years",negative
Falling oil prices shrinks Chevron's profit by 90 percent,negative
"More belt-tightening ahead as Exxon, Chevron profits dive",negative
"Oil slump pounds ExxonMobil, Chevron earnings",negative
Pain Worsens for Oil Giants Exxon and Chevron,negative
"Tumbling oil prices slam profit at Exxon Mobil, Chevron",negative
"U.S. stocks pressured by slumping oil giants Exxon, Chevron",negative
"US stocks mixed after ExxonMobil, Chevron profits dive",negative
"Barclays Cuts Chevron Target On Project Delays, Cash Flow Concerns",negative
Chevron (CVX) Stock Slipping on Price Target Cut at Barclays,negative
Chevron (CVX) Stock Declines With Slumping Oil Prices,negative
Chevron (CVX) Stock Drops as Oil Prices Fall,negative
Chevron Takes Harder Punch From Low Oil,negative
Is Chevron Corporation Heading For More Trouble?,negative
Chevron 2Q15 Earnings Fall 90%,negative
Chevron's S.African refinery cuts output after mechanical fault,negative
Chevron's S.African refinery cuts output due to mechanical fault,negative
Chevron (CVX) Stock Falls Along With Oil Prices,negative
Chevron (CVX) Stock Falls as Oil Prices Drop,negative
Dominion 2Q profit falls 21 percent,negative
Dominion misses Street 3Q forecasts,negative
Dominion misses Street 4Q forecasts,negative
Delta Air Lines pilots reject tentative contract: union,negative
Expect Delta Airlines' Turbulence to Continue After Earnings Report,negative
Large Majority of Delta Pilots Reject Three-Year Contract,negative
Delta Air (DAL) Stock Closes Lower Amid Airfare Investigation,negative
Delta pilots reject tentative labor contract nearly 2-to-1,negative
Delta will stay at Dallas airport until court hears case,negative
Delta Air Lines saw unit revenue drop in July,negative
Southwest Airlines: Delta's Worst Enemy?,negative
Delta ordered to pay $2.7 million for lawsuit delays,negative
Delta flight makes emergency landing in Denver due to hail,negative
"Delta Air Lines shrinks Dubai service, points to Gulf carrier growth",negative
Canceling cancellations not just for Delta mainline,negative
DuPont (DD) Stock Hits 52-Week Low After Chemours Spinoff,negative
"DuPont Fined More for Texas Deaths, Named OSHA Severe Violator ",negative
DuPont Tumbles to 52-week Low After Chemours Spinoff - Analyst Blog,negative
OSHA adds DuPont to severe violator list after leak,negative
US agency: Deaths show DuPont has 'failed' safety program,negative
Can DuPont Spin Off Its Liabilities?,negative
DuPont Issues Statement Regarding Trian's Latest Misleading CNBC Appearance,negative
DuPont and Kolon Settle Trade Secret Litigation,negative
US cites DuPont over gas leak that killed 4 workers,negative
Woman in DuPont economic espionage case pleads guilty,negative
DuPont says Trian-backed breakup would cost $4 bn,negative
What Makes DuPont (DD) a Strong Sell? - Tale of the Tape,negative
Workers who died at Dupont Texas plant lacked respirators -lawyer,negative
DuPont's Drop Offers Buying Opportunity Before Earnings,negative
"6:11 am DuPont misses by $0.03, misses on revs; reduces outlook for Agriculture segment",negative
"DuPont (DD) Stock Declining Following Earnings Release, Outlook Cut",negative
"DuPont (DD) Stock Declining Following Earnings Release, Outlook Cut; Jim Cramer Weighs In",negative
"DuPont Cuts Dividend, Lowers Outlook",negative
DuPont Cuts Profit Forecast Amid Weaker Agriculture,negative
"DuPont Lowers Dividend, Cuts 2015 Profit Forecast",negative
DuPont Trims Outlook on Agricultural Weakness,negative
DuPont cuts forecast on agriculture sales drop,negative
DuPont cuts full-year outlook on weak farm sales,negative
DuPont misses Street 2Q forecasts,negative
DuPont profit falls 12 pct,negative
"DuPont sees ""challenging"" months ahead as farm sales weaken",negative
DuPont warns strong dollar will dent 2015 earnings,negative
Dupont cuts forecasts on weak agriculture,negative
"Analysts Rein In DuPont Estimates After Q2, Guidance Disappointment",negative
DuPont (DD) Stock Price Target Slashed at Jefferies,negative
DuPont sales slump might fuel Peltz return,negative
"Deere to lay off more than 1,000 workers in Iowa, Illinois",negative
"Deere recalls more than 2,000 lawn tractors for crash risk",negative
Deere's Growing Pains,negative
Deere (DE) Stock Tanking in Pre-Market Trading After Guidance Cut,negative
Deere (DE) Stock is Slumping on Earnings Outlook,negative
"Deere Lowers Outlook On Strong Dollar, Weak Demand",negative
Deere Profit Tumbles,negative
Deere Profit Tumbles Amid Glut of Used Farm Equipment at Dealers,negative
Deere Reports Decline in Profit as Sales Tumble,negative
Deere Tries to Plow Through Farming Downturn,negative
"Deere cuts earnings outlook on weak farm, energy sales",negative
Deere oh dear: John Deere cuts guidance. Opportunity or threat?,negative
Deere profit falls 40 pct on weak demand for farm equipment,negative
Deere profit falls 40 percent on weak demand for farm equipment,negative
"Deere profit tumbles 40 pct, cuts 4th-qtr sales outlook",negative
"Deere profit tumbles 40 percent, cuts fourth-quarter sales outlook",negative
Deere shares fall 8 percent following weak third-quarter results,negative
John Deere says farming is still in trouble,negative
Deere (DE) Stock Continues to Decline on Lower Guidance,negative
Deere Posts Big Q3 Declines but Beats Estimates,negative
"Deere's Downturn Will Continue, Morgan Stanley Warns",negative
Deere: The Agriculture Downturn Matters After All,negative
No Quick Recovery For Deere Sales: RBC,negative
"Discover Financial closes mortgage unit, lays off hundreds in Irvine",negative
Discover Financial to Terminate Mortgage Origination Line - Analyst Blog,negative
"Discover says it will close mortgage unit, cutting 460 jobs",negative
Discover to Close Home Loans Business,negative
"Discover to Stop Originating Mortgages, Seeks to Cut 460 Jobs",negative
"Discover to close mortgage origination business, cut 460 jobs",negative
Discover to layoff 460 employees as it exits mortgage origination business,negative
Discover exiting home mortgage business,negative
Discover's 4Q profit falls 33 percent on one-time charges,negative
Discover Earnings Dented by Expenses,negative
Discover paying $18.5M over student loan violations,negative
Discover fails to provide sufficient student loan customer service,negative
Discover Slammed By CFPB For Illegal Student Loan Servicing Practices,negative
Discover Financial Services: Volume Surges after Earnings Release,negative
Dollar General misses Street 3Q forecasts,negative
Let the Bad Times Roll for Dollar General,negative
Dollar General (DG) Stock Down in Pre-Market Trading on Revenue Miss,negative
"Dollar General Stock Falls On Sales Miss, Mixed Outlook",negative
Dollar General trims FY same-store sales growth expectations,negative
Light Revenues Mute Dollar General Earnings Report,negative
"After Dollar General's Revenue Miss, Cramer's Focused on Dollar Tree's Earnings",negative
Quest Diagnostics downgraded by Goldman,negative
Walt Disney Earnings Could Jolt These ETFs,negative
"US STOCKS-Nasdaq, S&P 500 higher; Dow dragged down by Walt Disney",negative
Why Walt Disney Co Shares Fell as Much as 10% on Wednesday,negative
Walt Disney (DIS) Stock Continues to Fall on ESPN Concerns,negative
Walt Disney (DIS) Stock Continues to Fall on ESPN Worries,negative
Here's Why Walt Disney Co Deserved To Fall After Earnings,negative
Walt Disney (DIS) Stock Price Target Reduced at Barclays,negative
Walt Disney downgraded by Wells Fargo,negative
Wells Fargo Tunes Out Walt Disney,negative
Walt Disney (DIS) Stock Could Break Further to the Downside in 2015,negative
Walt Disney downgraded by Bernstein,negative
The Walt Disney Co. breached its 50 day moving average in a Bearish manner,negative
Comcast accuses Discovery of 'extortionate demands',negative
Will Discovery Communications (DISCA) Miss Q2 Earnings? - Analyst Blog,negative
"Discovery profit misses Street on weak ad sales, strong dollar",negative
Discovery unlikely to buy back shares this year,negative
Strong dollar stings Discovery Communications,negative
"Discovery 2Q profit slumps, takes charge on cancelled show",negative
"Discovery profit misses Street on weak ad sales, strong dollar",negative
Delphi Automotive (DLPH) Stock Downgraded at Barclays,negative
Delphi Shares Downgraded To Equal-Weight At Barclays: Here's Why,negative
Delphi to contest pressure to file U.S. taxes despite UK tax base,negative
"Top GM lawyer, Delphi CEO to face U.S. Senate on deadly ignition flaw",negative
"Delphi Automotive (DLPH) Stock Declines on Mixed Earnings, to Purchase HellermannTyton",negative
"Family Dollar's Q3 Was Disappointing, But MKM Says It's a 'Non-Event'",negative
Dollar General warns it may go hostile for Family Dollar,negative
Dollar Tree 2Q profit falls 2 percent,negative
Dollar Tree misses Street 1Q forecasts,negative
"Dollar Tree steps up fight, buys Family Dollar",negative
Dollar General trims FY same-store sales growth expectations,negative
"After Dollar General's Revenue Miss, Cramer's Focused on Dollar Tree's Earnings",negative
Cramer's Stop Trading: Dollar General,negative
"7:36 am Dollar Tree misses by $0.01, misses on revs; guides Q3 revs below consensus; guides FY16 revs below consensus",negative
Dollar Tree (DLTR) Stock Slumps as Revenue Misses Estimates,negative
Dollar Tree Swings to a Loss,negative
Dollar Tree reports 2Q loss,negative
Dollar Tree second-quarter sales miss estimates,negative
"Dollar Tree swings to net loss, while sales get a boost from Family Dollar merger",negative
"Merger Costs Hammer Dollar Tree Earnings, Boost Revenues",negative
Dun & Bradstreet misses 4Q profit forecasts,negative
Dun & Bradstreet reports 2Q loss,negative
Diamond Offshore Drilling Inc Stock Was Down 15% Last Month. Here's Why,negative
Diamond Offshore Slips to 52-Week Low on Weak Pricing - Analyst Blog,negative
Diamond Offshore's Q2 revenue falls on weak demand,negative
Diamond Offshore (DO) Stock Slumping on Price Target Cut,negative
Dover (DOV) Falls to 52-Week Low on Lowered 2015 Outlook - Analyst Blog,negative
Dover (DOV) Stock Down After Credit Suisse Cut Price Target,negative
Dover (DOV) Stock Slumping After Cutting Full Year Outlook,negative
Dover Reduces Full-Year Forecast,negative
"Dover Trims Guidance on Weak Fundamentals, Shares Fall - Analyst Blog",negative
Dover Announces Agreement to Be Acquired by Webster Capital for $8.50 per Share,negative
Dover Motorsports reports 4Q loss,negative
Dover On The Defensive,negative
Dover misses Street 1Q forecasts,negative
Dover misses Street 2Q forecasts,negative
"Caterpillar, 3M, Dow Sales Hit By Weak Global Growth",negative
Dow Chemical (DOW) Stock Slumping After Earnings Results,negative
Dow Chemical to cut 3% of workforce worldwide,negative
Dow Chemical to trim about 3 pct of global workforce,negative
"Dow Chemical warns of softness in China, shares fall",negative
"Faruqi & Faruqi, LLP is Investigating Dow Chemical Co. (NYSE: DOW) on Behalf of its Shareholders",negative
Currency exchange rates hit Dr Pepper Snapple sales,negative
Darden Restaurants reports 2Q loss,negative
"Darden cuts jobs, costs to save $20M annually",negative
DTE Energy misses 3Q profit forecasts,negative
"DTE Energy Misses Q2 Earnings Estimates, Raises Guidance - Analyst Blog",negative
DTE Energy misses 2Q profit forecasts,negative
DTE Energy (DTE) Stock Price Target Cut at Barclays,negative
Duke CEO: Company faced challenging year in 2014,negative
Duke Energy fined $25 million over coal ash pollution,negative
Duke Energy pleads guilty in court to coal ash crimes,negative
Duke Energy pleads guilty to causing illegal pollution,negative
Duke Energy to pay $146M to settle lawsuit over CEO ouster,negative
Duke Energy will be in federal court for coal ash crimes,negative
Duke pleads guilty in federal court for coal ash crimes,negative
Duke pollution could continue under proposed permits,negative
Duke seeks delay in suit over North Carolina coal ash spill,negative
"Duke, Virginia agree to $2.5 million coal ash settlement",negative
Groups seek to block Duke Energy coal ash from former clay mines,negative
Prosecutors: Duke Energy could have avoided Dan River,negative
Prosecutors: Duke Energy could have avoided Dan River spill,negative
Report: Carolinas residents suspicious of Duke Energy's plans for transmission line to Asheville,negative
US charges Duke with illegal pollution from 5 coal ash dumps,negative
Duke Energy utilities show poorly in latest J.D. Power survey,negative
Environmental groups ask judge to dismiss part of Duke suit,negative
Opposition mounts to proposed Duke Energy transmission line,negative
"7:15 am Duke Energy misses by $0.04, misses on revs",negative
Duke Energy (DUK) Misses on Q2 Earnings and Revenues - Tale of the Tape,negative
Duke Energy (DUK) Stock Sinking as Earnings Miss Estimates,negative
"Duke Energy Lags on Q2 Earnings and Revenues, Retains View - Analyst Blog",negative
Duke Energy misses 2Q profit forecasts,negative
Duke Energy misses earnings estimates in down quarter,negative
Duke Energy's quarterly profit falls 11 pct,negative
"U.S. power company Duke Energy's profit, revenue miss estimates",negative
"Anger, suspicion dominate S.C. public hearing on Duke Energy's Foothills transmission line",negative
Duke Energy to answer questions about controversial transmission line,negative
DaVita Healthcare Partners to pay $450 mln for violating False Claims Act -U.S. Justice Dept.,negative
DaVita Receives U.S. Civil Subpoena Amid Medicare Probe,negative
DaVita to pay $450 million in settlement over drug waste,negative
Feds nail DaVita for $450M in whistleblower case,negative
DaVita HealthCare Subpoenaed Over Medicare Coding,negative
DaVita HealthCare misses 3Q profit forecasts,negative
DaVita HealthCare reports 1Q loss,negative
Devon Energy (DVN) Stock Downgraded at Oppenheimer,negative
Devon Energy downgraded by Oppenheimer,negative
Devon Energy: Hedges Can't Hide Weakness,negative
Devon Energy reports 1Q loss,negative
Devon Energy reports 4Q loss,negative
Devon Energy reports 2Q loss,negative
Devon Energy downgraded by Scotia Howard Weil,negative
Devon Energy (DVN) Stock Price Target Reduced at Jefferies,negative
Electronic Arts must face ex-NFL players' lawsuit over video games,negative
Videogame titan Electronic Arts to lay off more staff,negative
Electronic Arts (EA) Stock Down in After-Hours Trading Despite Earnings Beat,negative
"Electronic Arts Down 4%: FYQ1 Beats; Q2, Year Views Miss",negative
Shares of Electronic Arts drop in wake of first-quarter results,negative
Video game publisher Electronic Arts' revenue falls 10.6 pct,negative
Electronic Arts Fails To Impress With Q1 Beat,negative
Electronic Arts: How Investors Should Play The Earnings Dip,negative
"New York AG questions eBay, PayPal on revised user agreements",negative
"New York AG questions eBay, PayPal on revised user agreements - NYT",negative
"eBay To Slash 2,400 Jobs In Major Shake-Up",negative
eBay crashes for second time in September leaving users enraged,negative
"eBay glitch blocks 'signing in' for users in India, US, UK",negative
eBay Stock Gets Price Target Slashed at Jefferies,negative
eBay Stock Receives Price Target Cut at Barclays,negative
"eBay shutters eBay Now, will rely on couriers such as FedEx & possibly Uber",negative
EBay closes eBay Now and other mobile apps,negative
"EBay shutters eBay Now, will rely on couriers such as FedEx and possibly Uber",negative
Ecolab misses Street 1Q forecasts,negative
Ecolab (ECL) Stock Earnings Estimates Lowered at Barclays,negative
Equifax goes to US Supreme Court with tax appeal,negative
US Supreme Court lets Equifax tax ruling stand,negative
"Equifax Downgraded By Baird Analyst On Valuation, 'Heightened Expectations'",negative
Equifax downgraded by Robert W. Baird,negative
Bernstein Liebhard LLP Announces That A Class Action Has Been Filed Against Edison International,negative
EQUITY ALERT: The Rosen Law Firm Announces the Filing of a Securities Class Action Lawsuit Against Edison International to Recover Investor Losses,negative
"INVESTOR ALERT: Faruqi & Faruqi, LLP Encourages Investors Who Suffered Losses in Excess of $100,000 Investing in Edison International to Contact the Firm",negative
Pomerantz Law Firm Announces the Filing of a Class Action Against Edison International and Certain Officers,negative
Robbins Arroyo LLP Is Investigating the Officers and Directors of Edison International (EIX) on Behalf of Shareholders,negative
"SHAREHOLDER ALERT: Levi & Korsinsky, LLP Notifies Shareholders of Edison International of Pendency of Class Action Lawsuit and a Lead Plaintiff Deadline of September 4, 2015 -- EIX",negative
SHAREHOLDER ALERT: Pomerantz Law Firm Investigates Claims On Behalf of Investors of Edison International - EIX,negative
"SHAREHOLDER ALERT: Rigrodsky & Long, P.A. Announces A Securities Fraud Class Action Lawsuit Has Been Filed Against Edison International",negative
INVESTOR ALERT: Goldberg Law PC Announces An Investigation Of Claims Against Edison International On Behalf Of Investors,negative
"SHAREHOLDER ALERT: Brower Piven Encourages Investors Who Have Losses In Excess Of $100,000 From Investment In Edison International To Contact Brower Piven Before The Lead Plaintiff Deadline In Class Action Lawsuit",negative
"IMPORTANT SHAREHOLDER ALERT: Wolf Haldenstein Adler Freeman & Herz LLP Announces That a Federal Securities Class Action Lawsuit Has Been Filed Against Edison International, Inc. in the United States District Court for the Southern District ",negative
"Edison International, Inc. Shareholder Alert: Former SEC Attorney Willie Briscoe and Powers Taylor Investigate Possible Breaches of Fiduciary Duty by Officers and Directors",negative
"Lifshitz & Miller Law Firm Announces Investigation of Celladon Corporation, Edison International, Inc., Louisiana Bancorp, Inc., Navient Corp., On Deck Capital, Inc., Thoratec, and Vivint Solar",negative
"SHAREHOLDER ALERT: Brower Piven Encourages Investors Who Have Losses In Excess Of $100,000 From Investment In Edison International To Contact Brower Piven Before The Lead Plaintiff Deadline In Class Action Lawsuit",negative
"SHAREHOLDER ALERT: Levi & Korsinsky, LLP Reminds Shareholders of Edison International of Pendency of Class Action Lawsuit and a Lead Plaintiff Deadline of September 4, 2015 -- EIX",negative
SHAREHOLDER ALERT: Pomerantz Law Firm Reminds Shareholders With Losses on Their Investment in Edison International of Class Action Lawsuit and Upcoming Deadline -- EIX,negative
TRADING ALERT: The Rosen Law Firm Reminds Edison International Investors of the Important Deadline in the Class Action,negative
Mitsubishi Heavy Says Edison Claims $7.57 Billion in Damages,negative
"SHAREHOLDER ALERT: Levi & Korsinsky, LLP Notifies Shareholders of Edison International of Pendency of Class Action Lawsuit and a Lead Plaintiff Deadline of September 4, 2015 - EIX",negative
IMPORTANT INVESTOR ALERT: Goldberg Law PC Announces Securities Class Action Lawsuit against Edison International and Advises Shareholders to Contact the Firm Prior to the Lead Plaintiff Deadline,negative
SECURITIES ALERT: The Rosen Law Firm Announces the Filing of a Securities Class Action Lawsuit Against Edison International to Recover Investor Losses - EIX,negative
Southern California Edison Disappointed with CPUC Judge Ruling,negative
LAWSUIT ALERT: The Law Firm of Andrews & Springer LLC Announces That a Securities Fraud Class Action Has Been Filed Against Edison International - EIX,negative
Judge rules SoCal Edison had illegal communications with CPUC,negative
SHAREHOLDER ALERT: Pomerantz Law Firm Reminds Shareholders with Losses on their Investment in Edison International of Class Action Lawsuit and Upcoming Deadline - EIX,negative
'Let's Call The Whole Thing Off'...Deutsche Bank Cuts Edison View In Downgrade,negative
Edison Int (EIX) Stock Price Target Cut at Deutsche Bank,negative
Edison downgraded by Deutsche Bank,negative
"SHAREHOLDER ALERT: The Law Offices of Vincent Wong Notify Investors of Class Action Involving Edison International and a Lead Plaintiff Deadline of September 4, 2015 - EIX",negative
"INVESTOR ALERT: Faruqi & Faruqi, LLP Encourages Investors Who Suffered Losses In Excess Of $100,000 Investing In Edison International To Contact The Firm",negative
SECURITIES FRAUD ALERT: The Law Firm of Andrews & Springer LLC Announces That A Securities Fraud Class Action Has Been Filed Against Edison International - EIX,negative
"SHAREHOLDER ALERT: Levi & Korsinsky, LLP Notifies Shareholders of Edison International of Pendency of Class Action Lawsuit and a Lead Plaintiff Deadline of September 4, 2015",negative
Southern California Edison Responds to CPUC Judge Ruling,negative
3:47 am Edison unit Southern California Edison responds to CPUC ruling,negative
"SECURITIES ALERT: The Rosen Law Firm Reminds Edison International Investors of the Important September 4, 2015 Deadline in the Class Action -- EIX",negative
LAWSUIT ALERT: The Law Firm of Andrews & Springer LLC Announces That a Securities Fraud Class Action Has Been Filed Against Edison International -- EIX,negative
SHAREHOLDER ALERT: Pomerantz Law Firm Reminds Shareholders With Losses on Their Investment in Edison International of Class Action Lawsuit and Upcoming Deadline,negative
"Shareholder Alert: Bronstein, Gewirtz & Grossman, LLC Reminds Investors of Class Action against Edison International and Lead Plaintiff Deadline of September 4, 2015",negative
"SHAREHOLDER ALERT: Brower Piven Encourages Investors Who Have Losses In Excess Of $100,000 From Investment In Edison International To Contact Brower Piven Before The Lead Plaintiff Deadline In Class Action Lawsuit",negative
"Estee Lauder cuts profit, sales growth forecast",negative
A mixed bag for Estee Lauder,negative
Estee Lauder (EL) Stock Slipping Following Earnings Results,negative
Estee Lauder beats 4Q profit forecasts,negative
Estee Lauder sales fall first time in 3 qtrs,negative
Estee Lauder sales fall first time in three quarters,negative
Estee Lauder sales miss as skin care products lose shine,negative
Estee Lauder sales miss on lower skin care product demand,negative
Estee Lauder: The End of Beat-and-Raise,negative
Estee Lauder (EL) Stock Earnings Estimate Lowered at Deutsche Bank,negative
Activist Elliott reaches standstill agreement with EMC,negative
Activist investor Elliott publicly urges EMC to spin off VMware,negative
"Data storage company EMC gives muted outlook, to cut jobs",negative
"EMC Stock Declining, a Target for Cyberspies",negative
EMC Stock Slips as it Plans to Sell Syncplicity,negative
EMC cuts profit forecast as bookings fall at VMware unit,negative
EMC misses 3Q profit forecasts,negative
EMC misses Street 1Q forecasts,negative
"EMC Posts Profit Decline, Further Cuts Year View",negative
EMC employees brace for more layoffs as the company vows to cut $850 million in expenses,negative
EMC Exploring Reorganization Alternatives,negative
EMC Stock Slumps Amid Pressure to Restructure its Business,negative
Why EMC is feeling the heat,negative
Why Eastman Kodak Co. Stock Fell 11.9% in June,negative
Fiber Maker Slumps Amid Eastman Chemical Contract Dispute,negative
Emerson Electric (EMR) Stock Declines on Negative Analyst Note,negative
Emerson Electric misses Street 2Q forecasts,negative
Emerson Electric Co Continues to Face Headwinds,negative
Emerson Electric Profit Drops 23%,negative
Emerson earnings take hit; CEO Farr expects continued 'difficult' conditions,negative
Emerson downgraded by Argus,negative
EOG Resources Free Cash Flows Turn Negative Again,negative
Is EOG Resources Debt Rising?,negative
EOG Resources misses 4Q profit forecasts,negative
EOG Resources reports 1Q loss,negative
EOG Resources (EOG) Stock Falling Amid Decline in Oil Prices,negative
EOG Resources (EOG) Stock Gets Rating Downgrade at Oppenheimer,negative
EOG Resources downgraded by Oppenheimer,negative
Why Oppenheimer Downgraded EOG Resources And Marathon Oil,negative
EOG Resources 2Q15 Revenues Fell 41% from Last Year,negative
"Equity Residential Q1 FFO Misses by a Penny, Guides In Line - Analyst Blog",negative
EQT misses 3Q profit forecasts,negative
EQT misses Street 2Q forecasts,negative
EQT reports 4Q loss,negative
Express Scripts says costly new cholesterol drugs could 'wreak havoc',negative
Express Scripts says costly new cholesterol drugs could wreak havoc,negative
Sellers target Express Scripts,negative
"E*TRADE Earnings Miss on Low Trading Activity, Revenue Up - Analyst Blog",negative
ITG chief steps down amid SEC trading probe,negative
E*TRADE Financial Posts Mixed Results for July,negative
The Market Is Revaluing E*TRADE on Lower-than-Expected 2Q Earnings,negative
Eaton to pay $147.5M to settle trade secret suits,negative
Is a Strong U.S. Dollar Hurting Eaton Corp's (ETN) Business? - Analyst Blog,negative
"Eaton (ETN) Stock Drops on Earnings Results, Weak Guidance",negative
Eaton (ETN) Stock Price Target Lowered at Credit Suisse,negative
Eaton downgraded by Atlantic Equities,negative
Entergy misses 3Q profit forecasts,negative
Entergy misses 4Q profit forecasts,negative
Entergy: Radiation rule violation should get lower rating,negative
Groups have concerns with 3 Entergy nukes,negative
Entergy downgraded by Goldman,negative
"6:52 am Entergy misses by $0.31, misses on revs; reaffirms FY15 EPS guidance",negative
Entergy Corporation (ETR) Lags Q2 Earnings and Revenues - Tale of the Tape,negative
"Entergy Q2 Earnings & Revenues Miss Estimates, Down Y/Y - Analyst Blog",negative
Entergy misses 2Q profit forecasts,negative
Entergy (ETR) Stock Price Target Cut at Jefferies,negative
Big Cap 20: Does Edwards Lifesciences Have More Left?,negative
Exelon misses 4Q profit forecasts,negative
Bears preparing to hammer Exelon,negative
Pepco Holdings Misses Q2 Earnings; Exelon Merger in Focus - Analyst Blog,negative
D.C. Regulators Reject Exelon's $6.8 Billion Bid for Pepco,negative
D.C. Regulators Reject Pepco-Exelon Merger,negative
D.C. commission rejects Exelon-Pepco deal,negative
"DC regulators reject proposed merger of Exelon, Pepco",negative
Exelon (EXC) Stock Slumping as Pepco Merger Blocked,negative
Exelon Bid for Pepco Rejected by DC Regulators,negative
Exelon's $6.8 Billion Pepco Deal in Doubt After D.C.'s Rejection,negative
Pepco (POM) Stock Plunges After D.C. Rejects Exelon Merger,negative
Pepco Plunges 16% After Regulators Nix Exelon Merger,negative
Pepco shares tumble 17% as D.C. commission blocks Exelon deal-- report,negative
Pepco-Exelon Merger Rejected by Regulators,negative
Regulator rejects $6.8 bn Exelon-Pepco merger,negative
D.C. Regulators Reject Exelon's Bid For Pepco. What Now?,negative
Expedia misses 1Q profit forecasts,negative
Hotel Industry Assails Expedia-Orbitz Deal,negative
Hotel trade group blasts proposed sale of Orbitz to Expedia,negative
Hotel trade grp blasts Expedia-Orbitz plan,negative
Hotel industry urges gov't to reject Expedia-Orbitz deal,negative
Critics take aim at Expedia-Orbitz tie-up,negative
Expedia's Troubled Merger Doesn't Hold Stock Back,negative
Chevy mauls Ford in new series of ads,negative
Ford Recalls Vehicles for Compliance Issue; Shares Fall 0.8% - Analyst Blog,negative
How GM's Chevy Silverado Clobbered the 2015 Ford F-150 This Year,negative
The Ford F-150 Is Getting Clobbered This Year,negative
A Strong US Dollar Could Hurt Ford and General Motors Q2 Profits,negative
"Ford 1st-qtr profit misses expectations, 2015 profit outlook affirmed",negative
"Ford India to recall 20,752 EcoSport cars to inspect corrosion concerns",negative
Ford Issues Safety Compliance Recall in North America,negative
Ford Issues Two Safety Compliance Recalls in North America,negative
"Ford Motor recalls vans, SUVs over panel, seat belt issues",negative
"Ford first-quarter profit misses expectations, 2015 profit outlook affirmed",negative
Ford recalls 432K cars because of software problem,negative
Ford recalls 433K cars because of software problem,negative
Ford recalls F-150 pickups for steering shaft problem,negative
"Ford recalls over 220,000 vehicles in North America for 3 issues",negative
Ford temporarily halts edge sales to repair flaw,negative
Ford Short Interest Rises,negative
"Lawsuit Accusing Ford, IBM of Aiding Apartheid Cannot Proceed, Court Says",negative
China's Auto Sales May Fall for First Time Since 2000: Ford,negative
Ford Motor Company Issues Safety Compliance Recall in the United States,negative
Crash test results a blow to Ford new aluminum F-150,negative
Ford (F) Stock Falls Following F-150 Crash Test Results,negative
Ford Defends Safety And Repair Costs Of New Aluminum F-150 Pickup,negative
Ford Responds To F-150 Safety Test Concerns,negative
Ford's aluminum F-Series gets mixed reviews,negative
"The New Ford F-150 Is Somewhat Safe, But Repairs Are Expensive",negative
The new Ford F-150 pickup truck is safe but costs more to fix,negative
Does This Crash Test Mean Ford's Aluminum F-150 Is Unsafe?,negative
Why Ford is shredding cash...literally,negative
"Why You Should Sell Cummins, Avoid Ford and UPS",negative
2015 Ford F-150 Supply Constraints Are Still Helping GM,negative
Ford (F) Stock Retreats as Car Sales Fall in China,negative
Ford China sales growth declines for third month; July down 6 pct yr/yr,negative
Ford's (F) China Retail Sales Decline 6% in July & 0.7% YTD - Analyst Blog,negative
Why the 2015 F-150 Didn't Boost Ford's Profits,negative
Ford Headlight Failures Prompting Wrecks Draw Second U.S. Probe,negative
Ford Motor Company Issues Safety Compliance Recall in North America,negative
"Ford recalls 26,400 trucks, models F-650 and F-750",negative
U.S. watchdog joins German investigation of Ford -source,negative
Ford (F) Recalls F-650 & F-750 Vehicles for Seat Belt Issue,negative
How Hard Will China's Slump Hit Ford,negative
Fastenal (FAST) Stock Price Target Cut at Credit Suisse,negative
Fastenal's (FAST) May Sales Dampened by Industrial Slump - Analyst Blog,negative
Fastenal (FAST) Stock Declined on Mixed Second Quarter Results,negative
"Shares Slump After Fastenal Company (FAST) Beats On Earnings, Misses On Revenue",negative
